Supplier Id,Invoice Id,Invoice Date,Invoice Amount,Terms,Payment Date,Payment Amount
supplier_2,13,2020-04-13,376.22,30,,
supplier_4,18,2020-06-07,726.79,30,,
supplier_6,22,2020-04-25,6540.85,90,,
supplier_11,57,2020-03-22,58.91,30,,
supplier_4,91,2020-05-16,761.97,120,,
supplier_8,26,2020-04-12,3721.3,60,,
supplier_3,60,2020-06-14,1077.8,30,,
supplier_7,95,2020-05-11,2356.14,90,,
supplier_1,29,2020-04-07,2086.20,60,,
supplier_5,64,2020-06-01,1981.26,120,,
supplier_10,30,2020-04-28,949.32,90,,
supplier_3,3,2020-03-24,664.64,60,,
supplier_3,8,2020-05-10,341.95,120,,
supplier_8,42,2020-04-06,499.27,90,,
supplier_6,55,2020-05-22,3273.84,120,2020-09-19,3273.84
supplier_11,45,2020-03-31,1112.19,120,,
supplier_11,97,2020-05-09,507.28,60,,
supplier_11,63,2020-04-04,470.34,120,,
supplier_5,98,2020-05-30,5515.40,60,,
supplier_9,32,2020-04-25,3050.77,30,,
supplier_9,75,2020-06-11,923.35,120,,
supplier_3,10,2020-05-08,7327.41,30,,
supplier_5,15,2020-04-03,1677.72,90,2020-07-02,1677.72
supplier_5,58,2020-05-20,2393.30,60,,
supplier_10,92,2020-04-16,3209.36,30,,
supplier_3,27,2020-06-10,1368.42,90,,
supplier_9,61,2020-05-15,239.47,120,,
supplier_11,66,2020-04-02,4091.79,60,,
supplier_4,0,2020-05-27,1818.85,30,,
supplier_8,35,2020-04-23,86.68,60,,
supplier_2,57,2020-05-31,1658.25,30,,
supplier_7,91,2020-04-27,1721.31,120,,
supplier_11,26,2020-03-23,1121.37,60,,
supplier_5,60,2020-05-18,1469.43,30,,
supplier_10,95,2020-04-21,4491.26,60,,
supplier_6,46,2020-05-30,4963.58,90,,
supplier_10,81,2020-04-25,1719.64,30,,
supplier_4,15,2020-03-22,1116.70,120,,
supplier_8,82,2020-05-16,774.76,60,,
supplier_2,16,2020-04-12,1346.81,30,,
supplier_6,50,2020-06-06,184.87,90,,
supplier_11,85,2020-05-03,168.19,120,,
supplier_2,58,2020-03-29,1707.25,60,,
supplier_7,24,2020-05-24,545.57,90,,
supplier_10,97,2020-04-11,9884.88,120,,
supplier_11,2,2020-06-05,1173.94,120,,
supplier_3,45,2020-05-01,710.77,120,,
supplier_3,88,2020-03-19,521.9,120,,
supplier_6,22,2020-05-13,3119.15,90,,
supplier_10,57,2020-04-09,2468.53,30,,
supplier_4,91,2020-06-04,246.58,120,,
supplier_8,58,2020-04-30,1093.64,60,,
supplier_11,30,2020-03-26,969.96,90,,
supplier_4,65,2020-05-21,1276.28,60,,
supplier_5,8,2020-04-08,51.59,120,,
supplier_9,74,2020-06-02,1945.65,90,2020-08-31,1945.65
supplier_9,17,2020-04-20,2811.23,60,,
supplier_2,52,2020-06-15,517.28,120,,
supplier_7,86,2020-05-11,1271.60,30,,
supplier_10,91,2020-04-07,852.66,120,,
supplier_3,25,2020-06-01,1408.72,60,,
supplier_8,60,2020-04-28,169.78,120,,
supplier_10,33,2020-03-24,230.9,30,,
supplier_4,99,2020-05-19,1008.15,120,,
supplier_7,72,2020-04-14,622.47,120,,
supplier_11,6,2020-06-08,6124.53,90,,
supplier_4,41,2020-04-27,1276.84,120,,
supplier_6,46,2020-03-23,1492.90,120,2020-07-21,1492.90
supplier_11,68,2020-04-30,6985.25,120,,
supplier_5,2,2020-03-27,206.31,60,,
supplier_9,36,2020-05-21,850.37,30,,
supplier_3,71,2020-04-25,7888.43,90,,
supplier_8,5,2020-03-21,507.49,60,,
supplier_1,40,2020-05-16,9227.80,90,,
supplier_3,83,2020-04-03,3233.12,90,,
supplier_6,17,2020-05-28,7405.43,120,,
supplier_9,22,2020-04-24,2856.52,120,,
supplier_8,53,2020-05-15,735.35,30,,
supplier_2,87,2020-04-11,1276.73,120,,
supplier_7,22,2020-06-13,8739.79,60,,
supplier_1,26,2020-05-01,2148.11,90,,
supplier_2,61,2020-03-28,15.17,30,,
supplier_7,95,2020-05-22,551.48,60,,
supplier_7,38,2020-04-17,2751.80,90,,
supplier_1,73,2020-06-12,5960.12,120,,
supplier_3,77,2020-04-30,4797.18,60,,
supplier_8,12,2020-03-27,807.23,120,,
supplier_1,46,2020-05-21,6864.29,90,,
supplier_7,81,2020-04-25,1522.61,120,,
supplier_8,86,2020-06-11,1640.67,60,,
supplier_2,20,2020-05-08,918.73,30,,
supplier_6,54,2020-04-03,1368.79,90,2020-07-02,1368.79
supplier_7,98,2020-05-28,7.36,60,,
supplier_1,32,2020-04-24,3860.68,30,,
supplier_1,75,2020-06-01,452.25,60,,
supplier_2,18,2020-04-28,2735.57,90,,
supplier_5,85,2020-03-24,1200.63,30,2020-04-23,1200.63
supplier_5,28,2020-05-10,1245.46,60,,
supplier_8,0,2020-04-05,8618.52,30,,
supplier_2,35,2020-05-31,1580.83,60,,
supplier_4,40,2020-04-18,987.66,90,,
supplier_2,53,2020-06-04,4285.72,30,,
supplier_6,87,2020-04-30,551.78,60,,
supplier_9,60,2020-03-27,2677.10,30,,
supplier_2,27,2020-05-21,1181.16,30,,
supplier_5,99,2020-04-16,4017.47,120,,
supplier_10,34,2020-06-11,3825.53,60,2020-08-10,3825.53
supplier_5,85,2020-04-20,111.62,60,,
supplier_10,52,2020-06-15,992.0,120,,
supplier_3,86,2020-05-11,7604.6,90,,
supplier_8,21,2020-04-07,412.12,30,,
supplier_10,94,2020-06-01,1711.43,60,,
supplier_4,98,2020-04-27,3138.75,90,,
supplier_7,33,2020-03-24,610.81,30,,
supplier_11,67,2020-05-18,377.12,60,,
